SUBCOUNTY,YEAR,EVI,LST,NDVI,latitude,longitude,Quantity,Temperature,Rainfall,EVI_NDVI_ratio,Vegetation_index,LST_celsius,Temp_stress,Heat_index,Rainfall_per_temp,Water_stress,Years_since_start,Is_drought_year,Is_good_rain_year,Lat_long_interaction,SUBCOUNTY_encoded,Prev_year_quantity,Prev_year_EVI,Prev_year_rainfall,EVI_3yr_avg,Rainfall_3yr_avg,Yield_per_EVI,Yield_per_rainfall
Endebess,2022,0.292352952,292.9616493,0.454368095,1.127661436,34.77227732,75023,19.6625,1102.1,0.6434261379506896,0.37336052350000004,19.8116493,0.11214713636363527,389.54655436125,56.050855382028956,17.840940007403194,9,1,0,39.21135617566143,1,72493.0,0.326173183,1030.3,0.3211089463333333,1429.8666666666666,256617.02017970328,68.07277010428022
Endebess,2023,0.34503683,298.6057254,0.6055483,1.127661436,34.77227732,73697,20.0677,1332.8,0.5697914769284681,0.47529256500000006,25.455725400000006,0.5173471363636324,510.8378606095801,66.41518129057235,15.056797707790516,10,0,0,39.21135617566143,1,75023.0,0.292352952,1102.1,0.32118765499999996,1155.0666666666666,213591.07202824688,55.29486790569112
Kiminini,2013,0.390923669,300.8053888,0.652354802,0.9219406,34.97071997,88141,19.475,1474.7,0.599249164032115,0.5216392354999999,27.655388800000026,0.07535286363636473,538.5886968800005,75.72271754953952,13.206075803074473,0,0,0,32.24092655157378,2,75986.5,0.3325061925,1394.85,0.390923669,1474.7,225467.99163498176,59.76876648825607
Kiminini,2014,0.359408314,301.0483259,0.594489116,0.9219406,34.97071997,90578,18.816,1280.9,0.6045656678335759,0.476948715,27.89832590000003,0.7343528636363672,524.9349001344006,68.07503889907319,14.689671313381469,1,0,0,32.24092655157378,2,88141.0,0.390923669,1474.7,0.37516599149999996,1377.8000000000002,252019.06704064994,70.71434142344106
Kiminini,2015,0.34791852,301.8193898,0.606070898,0.9219406,34.97071997,77403,19.6416667,1395.7,0.5740548623820205,0.476994709,28.669389800000033,0.0913138363636321,563.1145989439802,71.05812099651803,14.072986090081686,2,0,0,32.24092655157378,2,90578.0,0.359408314,1280.9,0.36608350100000003,1383.7666666666667,222473.86407063337,55.458192981687894
Kiminini,2016,0.350035386,302.2073371,0.597665974,0.9219406,34.97071997,71146,18.8466814,1254.7,0.5856696140616932,0.47385067999999997,29.05733710000004,0.7036714636363648,547.6343746561007,66.57405125052672,15.020866649381631,3,0,0,32.24092655157378,2,77403.0,0.34791852,1395.7,0.3524540733333333,1310.4333333333334,203253.15551623827,56.70359443954443
Kiminini,2017,0.337889011,302.1523374,0.55117306,0.9219406,34.97071997,50805,19.561,1394.0,0.6130350383325369,0.4445310355,29.002337400000044,0.010647136363633791,567.3147218814008,71.26424665077211,14.032281195098793,4,0,0,32.24092655157378,2,71146.0,0.350035386,1254.7,0.3452809723333334,1348.1333333333332,150359.57958520413,36.44548060513237
Kiminini,2018,0.339486279,300.3968893,0.564966602,0.9219406,34.97071997,77427,19.45,1626.0,0.600895127080225,0.45222644050000005,27.24688930000002,0.10035286363636686,529.9519968850004,83.5989674242176,11.961869611339562,5,0,1,32.24092655157378,2,50805.0,0.337889011,1394.0,0.3424702253333333,1424.8999999999999,228070.40142437856,47.61808115152639
Kiminini,2019,0.310830394,301.1427392,0.512356932,0.9219406,34.97071997,80750,20.325,1470.0,0.6066665012614658,0.411593663,27.992739200000017,0.7746471363636331,568.9524242400004,72.32471968882068,13.826530602839092,6,0,0,32.24092655157378,2,77427.0,0.339486279,1626.0,0.32940189466666664,1496.6666666666667,259787.14363710638,54.931972751746954
Kiminini,2020,0.383444073,301.9822594,0.649631233,0.9219406,34.97071997,67655,19.4791667,2157.2,0.590247918009327,0.516537653,28.832259399999998,0.07118616363636576,561.6283871902419,110.74395134449198,9.029838072951124,7,0,1,32.24092655157378,2,80750.0,0.310830394,1470.0,0.34458691533333335,1751.0666666666666,176439.87304538922,31.362414226143887
Kiminini,2021,0.329321922,300.1391449,0.531765326,0.9219406,34.97071997,73210,19.7291667,1030.3,0.6192981877532425,0.430543624,26.989144900000042,0.17881383636363424,532.4733388225557,52.222172555206164,19.148953393041875,8,1,0,32.24092655157378,2,67655.0,0.383444073,2157.2,0.3411987963333334,1552.5,222304.5986455811,71.05697362801419
Kiminini,2022,0.310329451,298.6957586,0.484499388,0.9219406,34.97071997,71339,19.6625,1102.1,0.6405143498048138,0.3974144195,25.5457586,0.11214713636363527,502.2934784725,56.050855382028956,17.840940007403194,9,1,0,32.24092655157378,2,73210.0,0.329321922,1030.3,0.3410318153333333,1429.8666666666666,229880.7602351598,64.7300607342981
Kiminini,2023,0.376851032,301.9103477,0.635846657,0.9219406,34.97071997,77040,20.0677,1332.8,0.5926750344225927,0.5063488445,28.76034770000001,0.5173471363636324,577.1540295392901,66.41518129057235,15.056797707790516,10,0,0,32.24092655157378,2,71339.0,0.310329451,1102.1,0.338834135,1155.0666666666666,204430.36910571842,57.803121205129706
Kwanza,2013,0.359101316,300.2901995,0.612751775,1.147892117,34.97926804,101486,19.475,1474.7,0.5860460052588093,0.48592654550000003,27.14019950000005,0.07535286363636473,528.5553852625011,75.72271754953952,13.206075803074473,0,0,0,40.15242604154604,3,75986.5,0.3325061925,1394.85,0.359101316,1474.7,282610.26308724785,68.8180646444578
Kwanza,2014,0.324750379,300.7043158,0.532342831,1.147892117,34.97926804,104293,18.816,1280.9,0.6100387758602578,0.42854660499999997,27.55431580000004,0.7343528636363672,518.4620060928007,68.07503889907319,14.689671313381469,1,0,0,40.15242604154604,3,101486.0,0.359101316,1474.7,0.3419258475,1377.8000000000002,321147.212126234,81.42165658410362
Kwanza,2015,0.294960337,302.2484525,0.516818782,1.147892117,34.97926804,89123,19.6416667,1395.7,0.5707218401326597,0.4058895595,29.098452500000008,0.0913138363636321,571.5421054907819,71.05812099651803,14.072986090081686,2,0,0,40.15242604154604,3,104293.0,0.324750379,1280.9,0.3262706773333333,1383.7666666666667,302151.464685014,63.855413008629775
Kwanza,2016,0.289580242,302.8850353,0.488562682,1.147892117,34.97926804,11460,18.8466814,1254.7,0.5927174955259977,0.389071462,29.73503530000005,0.7036714636363648,560.4067367168544,66.57405125052672,15.020866649381631,3,0,0,40.15242604154604,3,89123.0,0.294960337,1395.7,0.30309698599999996,1310.4333333333334,39574.386520519176,9.13365744071598
